Math,Bio,Interest_Tech,Interest_Art,Group_Work,Logical_Thinking,Likes_Speaking,Career
81,44,0,1,0,0,0,Design
53,32,1,0,1,1,1,IT
59,67,1,1,1,0,0,Social Sciences
87,51,0,1,0,0,0,Design
88,71,1,1,1,1,0,Engineering
91,91,0,1,0,1,0,Medicine
93,32,0,0,0,0,0,Social Sciences
68,47,1,0,1,1,1,IT
38,82,1,1,1,0,1,Business
100,73,0,1,0,0,1,Design
65,79,1,1,1,1,1,Business
83,33,1,0,0,1,1,Engineering
73,63,1,1,1,1,0,Social Sciences
77,44,1,1,0,1,0,Social Sciences
91,69,0,1,0,1,0,Design
82,53,1,0,1,1,1,Engineering
70,58,0,0,0,0,0,Social Sciences
38,30,1,1,1,0,0,Social Sciences
37,64,0,0,0,0,1,Education
70,57,0,0,1,1,1,Education
62,77,0,0,1,1,0,Social Sciences
73,64,0,0,0,0,1,Education
32,30,0,1,0,0,1,Design
56,38,0,0,1,1,1,Education
80,92,1,0,0,1,0,IT
33,52,0,0,0,0,0,Social Sciences
65,42,1,0,0,0,1,Social Sciences
57,95,1,0,1,0,0,Social Sciences
35,57,1,1,1,1,1,Business
91,91,0,0,0,0,1,Medicine
32,99,1,0,0,1,0,IT
80,73,1,0,0,1,1,IT
81,91,0,1,1,1,1,Medicine
68,31,0,0,0,0,1,Education
88,31,1,1,1,0,0,Social Sciences
30,48,1,1,0,1,1,Social Sciences
61,99,1,0,1,0,0,Social Sciences
85,46,0,1,1,0,1,Business
99,40,0,1,1,0,0,Design
88,99,1,0,0,1,1,Engineering
88,65,0,1,0,0,0,Design
49,100,1,0,0,1,1,IT
68,30,0,1,0,0,1,Design
52,60,1,1,0,0,1,Social Sciences
45,89,0,1,0,1,1,Medicine
41,98,0,1,0,0,0,Medicine
48,77,1,0,1,1,1,IT
62,53,1,0,0,1,1,IT
67,54,0,1,1,1,1,Business
95,83,0,1,0,0,1,Design
62,97,0,1,0,1,1,Medicine
37,36,0,0,1,0,1,Education
88,51,1,1,1,1,0,Engineering
80,83,1,0,0,1,0,IT
59,57,0,1,0,0,1,Design
90,77,0,1,0,1,0,Design
46,73,1,1,0,1,0,Social Sciences
35,66,1,0,0,1,0,IT
89,92,0,0,1,0,0,Medicine
96,47,0,1,0,1,1,Design
96,75,1,1,1,0,1,Business
52,95,0,0,1,1,1,Medicine
46,62,0,0,1,1,0,Social Sciences
71,55,0,1,0,1,0,Design
89,36,0,1,0,1,0,Design
37,45,1,1,0,0,0,Social Sciences
95,61,0,0,1,0,0,Social Sciences
87,92,1,0,1,1,1,Engineering
78,81,1,1,0,1,0,Social Sciences
89,37,0,1,1,1,0,Design
97,35,0,1,1,1,0,Design
84,69,1,1,0,1,1,Engineering
59,48,0,1,0,0,1,Design
87,84,1,0,1,0,1,Social Sciences
52,38,1,0,0,1,1,IT
30,63,1,1,1,1,0,Social Sciences
30,45,0,0,1,0,0,Social Sciences
51,96,1,1,1,0,0,Social Sciences
86,58,1,1,0,0,0,Social Sciences
91,98,1,1,1,1,1,Engineering
68,62,1,1,0,0,1,Social Sciences
39,98,1,1,1,0,1,Business
48,87,1,0,1,0,0,Social Sciences
33,45,1,1,0,1,0,Social Sciences
61,53,1,1,0,1,0,Social Sciences
62,90,0,0,0,1,0,Medicine
94,62,1,1,0,1,0,Engineering
42,41,0,1,1,0,0,Design
64,37,0,1,1,1,1,Business
63,36,1,1,0,1,0,Social Sciences
